1S: 1s.png
2S: 2s.png
3S: 3s.png
4S: 4s.png
5S: 5s.png
6S: 6s.png
7S: 7s.png
8S: 8s.png
9S: 9s.png
10S: 10s.png
11S: 11s.png
12S: 12s.png
13S: 13s.png
14S: 14s.png
15S: 15s.png
16S: 16s.png
17S: 17s.png
18S: 18s.png
19S: 19s.png
20S: 20s.png
21S: 21s.png
22S: 22s.png
23S: 23s.png
24S: 24s.png
25S: 25s.png
26S: 26s.png
27S: 27s.png
28S: 28s.png
29S: 29s.png
30S: 30s.png
31S: 31s.png
32S: 32s.png
33S: 33s.png
34S: 34s.png
35S: 35s.png
36S: 36s.png
37S: 37s.png
38S: 38s.png
39S: 39s.png
40S: 40s.png
41S: 41s.png
42S: 42s.png
43S: 43s.png
44S: 44s.png
45S: 45s.png
46S: 46s.png
47S: 47s.png
48S: 48s.png
49S: 49s.png
50S: 50s.png
51S: 51s.png
52S: 52s.png
53S: 53s.png
54S: 54s.png
55S: 55s.png
56S: 56s.png
57S: 57s.png
1C: 1, 2, 3, 4, 5, 6, 7, 50
2C: 8, 9, 10, 11, 12, 13, 14, 50
3C: 15, 16, 17, 18, 19, 20, 21, 50
4C: 22, 23, 24, 25, 26, 27, 28, 50
5C: 29, 30, 31, 32, 33, 34, 35, 50
6C: 36, 37, 38, 39, 40, 41, 42, 50
7C: 43, 44, 45, 46, 47, 48, 49, 50
8C: 1, 8, 15, 22, 29, 36, 43, 51
9C: 2, 9, 16, 23, 30, 37, 44, 51
10C: 3, 10, 17, 24, 31, 38, 45, 51
11C: 4, 11, 18, 25, 32, 39, 46, 51
12C: 5, 12, 19, 26, 33, 40, 47, 51
13C: 6, 13, 20, 27, 34, 41, 48, 51
14C: 7, 14, 21, 28, 35, 42, 49, 51
15C: 1, 9, 17, 25, 33, 41, 49, 52
16C: 2, 10, 18, 26, 34, 42, 43, 52
17C: 3, 11, 19, 27, 35, 36, 44, 52
18C: 4, 12, 20, 28, 29, 37, 45, 52
19C: 5, 13, 21, 22, 30, 38, 46, 52
20C: 6, 14, 15, 23, 31, 39, 47, 52
21C: 7, 8, 16, 24, 32, 40, 48, 52
22C: 1, 10, 19, 28, 30, 39, 48, 53
23C: 2, 11, 20, 22, 31, 40, 49, 53
24C: 3, 12, 21, 23, 32, 41, 43, 53
25C: 4, 13, 15, 24, 33, 42, 44, 53
26C: 5, 14, 16, 25, 34, 36, 45, 53
27C: 6, 8, 17, 26, 35, 37, 46, 53
28C: 7, 9, 18, 27, 29, 38, 47, 53
29C: 1, 11, 21, 24, 34, 37, 47, 54
30C: 2, 12, 15, 25, 35, 38, 48, 54
31C: 3, 13, 16, 26, 29, 39, 49, 54
32C: 4, 14, 17, 27, 30, 40, 43, 54
33C: 5, 8, 18, 28, 31, 41, 44, 54
34C: 6, 9, 19, 22, 32, 42, 45, 54
35C: 7, 10, 20, 23, 33, 36, 46, 54
36C: 1, 12, 16, 27, 31, 42, 46, 55
37C: 2, 13, 17, 28, 32, 36, 47, 55
38C: 3, 14, 18, 22, 33, 37, 48, 55
39C: 4, 8, 19, 23, 34, 38, 49, 55
40C: 5, 9, 20, 24, 35, 39, 43, 55
41C: 6, 10, 21, 25, 29, 40, 44, 55
42C: 7, 11, 15, 26, 30, 41, 45, 55
43C: 1, 13, 18, 23, 35, 40, 45, 56
44C: 2, 14, 19, 24, 29, 41, 46, 56
45C: 3, 8, 20, 25, 30, 42, 47, 56
46C: 4, 9, 21, 26, 31, 36, 48, 56
47C: 5, 10, 15, 27, 32, 37, 49, 56
48C: 6, 11, 16, 28, 33, 38, 43, 56
49C: 7, 12, 17, 22, 34, 39, 44, 56
50C: 1, 14, 20, 26, 32, 38, 44, 57
51C: 2, 8, 21, 27, 33, 39, 45, 57
52C: 3, 9, 15, 28, 34, 40, 46, 57
53C: 4, 10, 16, 22, 35, 41, 47, 57
54C: 5, 11, 17, 23, 29, 42, 48, 57
55C: 6, 12, 18, 24, 30, 36, 49, 57
56C: 7, 13, 19, 25, 31, 37, 43, 57
57C: 50, 51, 52, 53, 54, 55, 56, 57
